Округ;Регион;Город
Сибирский;Хакасия;Абаза
Сибирский;Хакасия;Абакан
Приволжский;Оренбургская область;Абдулино
Южный;Краснодарский край;Абинск
Приволжский;Башкортостан;Агидель
Приволжский;Татарстан;Агрыз
Южный;Адыгея;Адыгейск
Приволжский;Татарстан;Азнакаево
Южный;Ростовская область;Азов
Сибирский;Тыва;Ак-Довурак
Южный;Ростовская область;Аксай
Северо-Кавказский;Северная Осетия;Алагир
Уральский;Свердловская область;Алапаевск
Приволжский;Чувашия;Алатырь
Дальневосточный;Якутия;Алдан
Сибирский;Алтайский край;Алейск
Центральный;Владимирская область;Александров
Дальневосточный;Сахалинская область;Александровск-Сахалинский
Приволжский;Пермский край;Александровск
Центральный;Белгородская область;Алексеевка
Центральный;Тульская область;Алексин
Сибирский;Иркутская область;Алзамай
Южный;Крым;Алупка
Южный;Крым;Алушта
Приволжский;Татарстан;Альметьевск
Дальневосточный;Хабаровский край;Амурск
Дальневосточный;Чукотский АО;Анадырь
Южный;Краснодарский край;Анапа
Сибирский;Иркутская область;Ангарск
Центральный;Тверская область;Андреаполь
Сибирский;Кемеровская область;Анжеро-Судженск
Дальневосточный;Сахалинская область;Анива
Северо-Западный;Мурманская область;Апатиты
Центральный;Московская область;Апрелевка
Южный;Краснодарский край;Апшеронск
Уральский;Свердловская область;Арамиль
Северо-Кавказский;Чечня;Аргун
Приволжский;Мордовия;Ардатов
Северо-Кавказский;Северная Осетия;Ардон
Приволжский;Нижегородская область;Арзамас
Приволжский;Саратовская область;Аркадак
Южный;Краснодарский край;Армавир
Южный;Крым;Армянск
Дальневосточный;Приморский край;Арсеньев
Приволжский;Татарстан;Арск
Дальневосточный;Приморский край;Артём
Сибирский;Красноярский край;Артёмовск
Уральский;Свердловская область;Артёмовский
Северо-Западный;Архангельская область;Архангельск
Уральский;Свердловская область;Асбест
Сибирский;Томская область;Асино
Южный;Астраханская область;Астрахань
Приволжский;Саратовская область;Аткарск
Южный;Астраханская область;Ахтубинск
Сибирский;Красноярский край;Ачинск
Северо-Кавказский;Чечня;Ачхой-Мартан
Уральский;Челябинская область;Аша
Северо-Западный;Вологодская область;Бабаево
Сибирский;Бурятия;Бабушкин
Приволжский;Татарстан;Бавлы
Северо-Западный;Калининградская область;Багратионовск
Сибирский;Иркутская область;Байкальск
Приволжский;Башкортостан;Баймак
Уральский;Челябинская область;Бакал
Северо-Кавказский;Кабардино-Балкария;Баксан
Центральный;Калужская область;Балабаново
Южный;Севастополь;Балаклава
Приволжский;Саратовская область;Балаково
Приволжский;Нижегородская область;Балахна
Центральный;Московская область;Балашиха
Приволжский;Саратовская область;Балашов
Сибирский;Забайкальский край;Балей
Северо-Западный;Калининградская область;Балтийск
Сибирский;Новосибирская область;Барабинск
Сибирский;Алтайский край;Барнаул
Приволжский;Ульяновская область;Барыш
Южный;Ростовская область;Батайск
Южный;Крым;Бахчисарай
Центральный;Тверская область;Бежецк
Южный;Ростовская область;Белая Калитва
Приволжский;Кировская область;Белая Холуница
Центральный;Белгородская область;Белгород
Приволжский;Башкортостан;Белебей
Приволжский;Пензенская область;Белинский
Сибирский;Кемеровская область;Белово
Дальневосточный;Амурская область;Белогорск
Южный;Крым;Белогорск
Северо-Западный;Вологодская область;Белозерск
Сибирский;Алтайский край;Белокуриха
Северо-Западный;Карелия;Беломорск
Центральный;Московская область;Белоозёрский
Приволжский;Башкортостан;Белорецк
Южный;Краснодарский край;Белореченск
Центральный;Калужская область;Белоусово
Уральский;Ханты-Мансийский АО;Белоярский
Центральный;Тверская область;Белый
Центральный;Тульская область;Белёв
Сибирский;Новосибирская область;Бердск
Приволжский;Пермский край;Березники
Сибирский;Кемеровская область;Берёзовский
Уральский;Свердловская область;Берёзовский
Северо-Кавказский;Северная Осетия;Беслан
Сибирский;Алтайский край;Бийск
Дальневосточный;Хабаровский край;Бикин
Дальневосточный;Чукотский АО;Билибино
Дальневосточный;Еврейская АО;Биробиджан
Приволжский;Башкортостан;Бирск
Сибирский;Иркутская область;Бирюсинск
Центральный;Белгородская область;Бирюч
Дальневосточный;Амурская область;Благовещенск
Приволжский;Башкортостан;Благовещенск
Северо-Кавказский;Ставропольский край;Благодарный
Центральный;Воронежская область;Бобров
Уральский;Свердловская область;Богданович
Центральный;Тульская область;Богородицк
Приволжский;Нижегородская область;Богородск
Сибирский;Красноярский край;Боготол
Центральный;Воронежская область;Богучар
Сибирский;Иркутская область;Бодайбо
Северо-Западный;Ленинградская область;Бокситогорск
Приволжский;Татарстан;Болгар
Центральный;Тверская область;Бологое
Сибирский;Новосибирская область;Болотное
Центральный;Тульская область;Болохово
Центральный;Орловская область;Болхов
Дальневосточный;Приморский край;Большой Камень
Приволжский;Нижегородская область;Бор
Сибирский;Забайкальский край;Борзя
Центральный;Воронежская область;Борисоглебск
Северо-Западный;Новгородская область;Боровичи
Центральный;Калужская область;Боровск
Сибирский;Красноярский край;Бородино
Сибирский;Иркутская область;Братск
Центральный;Московская область;Бронницы
Центральный;Брянская область;Брянск
Приволжский;Татарстан;Бугульма
Приволжский;Оренбургская область;Бугуруслан
Северо-Кавказский;Ставропольский край;Будённовск
Приволжский;Оренбургская область;Бузулук
Приволжский;Татарстан;Буинск
Центральный;Костромская область;Буй
Северо-Кавказский;Дагестан;Буйнакск
Центральный;Воронежская область;Бутурлиновка
Северо-Западный;Новгородская область;Валдай
Центральный;Белгородская область;Валуйки
Центральный;Смоленская область;Велиж
Северо-Западный;Псковская область;Великие Луки
Северо-Западный;Новгородская область;Великий Новгород
Северо-Западный;Вологодская область;Великий Устюг
Северо-Западный;Архангельская область;Вельск
Центральный;Тульская область;Венёв
Приволжский;Пермский край;Верещагино
Центральный;Московская область;Верея
Уральский;Челябинская область;Верхнеуральск
Уральский;Свердловская область;Верхний Тагил
Уральский;Челябинская область;Верхний Уфалей
Уральский;Свердловская область;Верхняя Пышма
Уральский;Свердловская область;Верхняя Салда
Уральский;Свердловская область;Верхняя Тура
Уральский;Свердловская область;Верхотурье
Дальневосточный;Якутия;Верхоянск
Центральный;Тверская область;Весьегонск
Приволжский;Нижегородская область;Ветлуга
Центральный;Московская область;Видное
Дальневосточный;Якутия;Вилюйск
Дальневосточный;Камчатский край;Вилючинск
Сибирский;Иркутская область;Вихоревка
Центральный;Ивановская область;Вичуга
Дальневосточный;Приморский край;Владивосток
Северо-Кавказский;Северная Осетия;Владикавказ
Центральный;Владимирская область;Владимир
Южный;Волгоградская область;Волгоград
Южный;Ростовская область;Волгодонск
Центральный;Костромская область;Волгореченск
Приволжский;Марий Эл;Волжск
Южный;Волгоградская область;Волжский
Северо-Западный;Вологодская область;Вологда
Приволжский;Нижегородская область;Володарск
Центральный;Московская область;Волоколамск
Северо-Западный;Ленинградская область;Волосово
Северо-Западный;Ленинградская область;Волхов
Уральский;Свердловская область;Волчанск
Приволжский;Саратовская область;Вольск
Северо-Западный;Коми;Воркута
Центральный;Воронежская область;Воронеж
Приволжский;Нижегородская область;Ворсма
Центральный;Московская область;Воскресенск
Приволжский;Удмуртия;Воткинск
Северо-Западный;Ленинградская область;Всеволожск
Северо-Западный;Коми;Вуктыл
Северо-Западный;Ленинградская область;Выборг
Приволжский;Нижегородская область;Выкса
Центральный;Московская область;Высоковск
Северо-Западный;Ленинградская область;Высоцк
Северо-Западный;Вологодская область;Вытегра
Центральный;Тверская область;Вышний Волочёк
Дальневосточный;Хабаровский край;Вяземский
Центральный;Владимирская область;Вязники
Центральный;Смоленская область;Вязьма
Приволжский;Кировская область;Вятские Поляны
Центральный;Ивановская область;Гаврилов Посад
Центральный;Ярославская область;Гаврилов-Ям
Центральный;Смоленская область;Гагарин
Северо-Западный;Мурманская область;Гаджиево
Приволжский;Оренбургская область;Гай
Центральный;Костромская область;Галич
Северо-Западный;Ленинградская область;Гатчина
Северо-Западный;Калининградская область;Гвардейск
Северо-Западный;Псковская область;Гдов
Южный;Краснодарский край;Геленджик
Северо-Кавказский;Ставропольский край;Георгиевск
Приволжский;Удмуртия;Глазов
Центральный;Московская область;Голицыно
Приволжский;Нижегородская область;Горбатов
Сибирский;Алтай;Горно-Алтайск
Приволжский;Пермский край;Горнозаводск
Сибирский;Алтайский край;Горняк
Приволжский;Нижегородская область;Городец
Приволжский;Пензенская область;Городище
Южный;Калмыкия;Городовиковск
Центральный;Владимирская область;Гороховец
Южный;Краснодарский край;Горячий Ключ
Центральный;Белгородская область;Грайворон
Приволжский;Пермский край;Гремячинск
Северо-Кавказский;Чечня;Грозный
Центральный;Липецкая область;Грязи
Северо-Западный;Вологодская область;Грязовец
Приволжский;Пермский край;Губаха
Центральный;Белгородская область;Губкин
Уральский;Ямало-Ненецкий АО;Губкинский
Северо-Кавказский;Чечня;Гудермес
Южный;Ростовская область;Гуково
Южный;Краснодарский край;Гулькевичи
Северо-Западный;Калининградская область;Гурьевск
Сибирский;Кемеровская область;Гурьевск
Северо-Западный;Калининградская область;Гусев
Сибирский;Бурятия;Гусиноозёрск
Центральный;Владимирская область;Гусь-Хрустальный
Приволжский;Башкортостан;Давлеканово
Северо-Кавказский;Дагестан;Дагестанские Огни
Уральский;Курганская область;Далматово
Дальневосточный;Приморский край;Дальнегорск
Дальневосточный;Приморский край;Дальнереченск
Центральный;Ярославская область;Данилов
Центральный;Липецкая область;Данков
Уральский;Свердловская область;Дегтярск
Центральный;Московская область;Дедовск
Центральный;Смоленская область;Демидов
Северо-Кавказский;Дагестан;Дербент
Центральный;Смоленская область;Десногорск
Южный;Крым;Джанкой
Приволжский;Нижегородская область;Дзержинск
Центральный;Московская область;Дзержинский
Сибирский;Красноярский край;Дивногорск
Северо-Кавказский;Северная Осетия;Дигора
Приволжский;Ульяновская область;Димитровград
Центральный;Курская область;Дмитриев
Центральный;Московская область;Дмитров
Центральный;Орловская область;Дмитровск
Северо-Западный;Псковская область;Дно
Приволжский;Пермский край;Добрянка
Центральный;Московская область;Долгопрудный
Дальневосточный;Сахалинская область;Долинск
Центральный;Московская область;Домодедово
Южный;Ростовская область;Донецк
Центральный;Тульская область;Донской
Центральный;Смоленская область;Дорогобуж
Центральный;Московская область;Дрезна
Центральный;Московская область;Дубна
Южный;Волгоградская область;Дубовка
Сибирский;Красноярский край;Дудинка
Центральный;Смоленская область;Духовщина
Приволжский;Башкортостан;Дюртюли
Центральный;Брянская область;Дятьково
Южный;Крым;Евпатория
Центральный;Московская область;Егорьевск
Южный;Краснодарский край;Ейск
Уральский;Свердловская область;Екатеринбург
Приволжский;Татарстан;Елабуга
Центральный;Липецкая область;Елец
Дальневосточный;Камчатский край;Елизово
Центральный;Смоленская область;Ельня
Уральский;Челябинская область;Еманжелинск
Северо-Западный;Коми;Емва
Сибирский;Красноярский край;Енисейск
Центральный;Калужская область;Ермолино
Приволжский;Саратовская область;Ершов
Северо-Кавказский;Ставропольский край;Ессентуки
Центральный;Тульская область;Ефремов
Северо-Кавказский;Ставропольский край;Железноводск
Сибирский;Иркутская область;Железногорск-Илимский
Сибирский;Красноярский край;Железногорск
Центральный;Курская область;Железногорск
Центральный;Тамбовская область;Жердевка
Приволжский;Самарская область;Жигулёвск
Центральный;Калужская область;Жиздра
Южный;Волгоградская область;Жирновск
Центральный;Калужская область;Жуков
Центральный;Брянская область;Жуковка
Центральный;Московская область;Жуковский
Дальневосточный;Амурская область;Завитинск
Уральский;Тюменская область;Заводоуковск
Центральный;Ивановская область;Заволжск
Приволжский;Нижегородская область;Заволжье
Центральный;Липецкая область;Задонск
Приволжский;Татарстан;Заинск
Сибирский;Бурятия;Закаменск
Сибирский;Красноярский край;Заозёрный
Северо-Западный;Мурманская область;Заозёрск
Центральный;Тверская область;Западная Двина
Северо-Западный;Мурманская область;Заполярный
Центральный;Московская область;Зарайск
Приволжский;Пензенская область;Заречный
Уральский;Свердловская область;Заречный
Сибирский;Алтайский край;Заринск
Приволжский;Марий Эл;Звенигово
Центральный;Московская область;Звенигород
Южный;Ростовская область;Зверево
Сибирский;Красноярский край;Зеленогорск
Северо-Западный;Санкт-Петербург;Зеленогорск
Центральный;Москва;Зеленоград
Северо-Западный;Калининградская область;Зеленоградск
Приволжский;Татарстан;Зеленодольск
Северо-Кавказский;Ставропольский край;Зеленокумск
Южный;Ростовская область;Зерноград
Дальневосточный;Амурская область;Зея
Сибирский;Иркутская область;Зима
Уральский;Челябинская область;Златоуст
Центральный;Брянская область;Злынка
Сибирский;Алтайский край;Змеиногорск
Южный;Астраханская область;Знаменск
Центральный;Тверская область;Зубцов
Приволжский;Кировская область;Зуевка
Северо-Западный;Ленинградская область;Ивангород
Центральный;Ивановская область;Иваново
Центральный;Московская область;Ивантеевка
Уральский;Свердловская область;Ивдель
Сибирский;Красноярский край;Игарка
Приволжский;Удмуртия;Ижевск
Северо-Кавказский;Дагестан;Избербаш
Северо-Кавказский;Ставропольский край;Изобильный
Сибирский;Красноярский край;Иланский
Приволжский;Ульяновская область;Инза
Южный;Севастополь;Инкерман
Приволжский;Татарстан;Иннополис
Приволжский;Мордовия;Инсар
Северо-Западный;Коми;Инта
Северо-Кавказский;Ставропольский край;Ипатово
Уральский;Свердловская область;Ирбит
Сибирский;Иркутская область;Иркутск
Сибирский;Омская область;Исилькуль
Сибирский;Новосибирская область;Искитим
Центральный;Московская область;Истра
Уральский;Тюменская область;Ишим
Приволжский;Башкортостан;Ишимбай
Приволжский;Марий Эл;Йошкар-Ола
Северо-Западный;Вологодская область;Кадников
Приволжский;Татарстан;Казань
Южный;Волгоградская область;Калач-на-Дону
Центральный;Воронежская область;Калач
Сибирский;Омская область;Калачинск
Северо-Западный;Калининградская область;Калининград
Приволжский;Саратовская область;Калининск
Сибирский;Кемеровская область;Калтан
Центральный;Калужская область;Калуга
Центральный;Тверская область;Калязин
Приволжский;Удмуртия;Камбарка
Приволжский;Пензенская область;Каменка
Северо-Западный;Ленинградская область;Каменногорск
Уральский;Свердловская область;Каменск-Уральский
Южный;Ростовская область;Каменск-Шахтинский
Сибирский;Алтайский край;Камень-на-Оби
Центральный;Владимирская область;Камешково
Южный;Астраханская область;Камызяк
Южный;Волгоградская область;Камышин
Уральский;Свердловская область;Камышлов
Приволжский;Чувашия;Канаш
Северо-Западный;Мурманская область;Кандалакша
Сибирский;Красноярский край;Канск
Центральный;Владимирская область;Карабаново
Уральский;Челябинская область;Карабаш
Северо-Кавказский;Ингушетия;Карабулак
Сибирский;Новосибирская область;Карасук
Северо-Кавказский;Карачаево-Черкесия;Карачаевск
Центральный;Брянская область;Карачев
Сибирский;Новосибирская область;Каргат
Северо-Западный;Архангельская область;Каргополь
Уральский;Свердловская область;Карпинск
Уральский;Челябинская область;Карталы
Центральный;Рязанская область;Касимов
Уральский;Челябинская область;Касли
Северо-Кавказский;Дагестан;Каспийск
Уральский;Челябинская область;Катав-Ивановск
Уральский;Курганская область;Катайск
Уральский;Свердловская область;Качканар
Центральный;Тверская область;Кашин
Центральный;Московская область;Кашира
Сибирский;Томская область;Кедровый
Сибирский;Кемеровская область;Кемерово
Северо-Западный;Карелия;Кемь
Южный;Крым;Керчь
Приволжский;Пермский край;Кизел
Северо-Кавказский;Дагестан;Кизилюрт
Северо-Кавказский;Дагестан;Кизляр
Центральный;Тульская область;Кимовск
Центральный;Тверская область;Кимры
Северо-Западный;Ленинградская область;Кингисепп
Приволжский;Самарская область;Кинель
Центральный;Ивановская область;Кинешма
Центральный;Тульская область;Киреевск
Сибирский;Иркутская область;Киренск
Центральный;Владимирская область;Киржач
Северо-Западный;Вологодская область;Кириллов
Северо-Западный;Ленинградская область;Кириши
Центральный;Калужская область;Киров
Приволжский;Кировская область;Киров
Уральский;Свердловская область;Кировград
Приволжский;Кировская область;Кирово-Чепецк
Северо-Западный;Ленинградская область;Кировск
Северо-Западный;Мурманская область;Кировск
Приволжский;Кировская область;Кирс
Центральный;Тамбовская область;Кирсанов
Сибирский;Кемеровская область;Киселёвск
Северо-Кавказский;Ставропольский край;Кисловодск
Центральный;Московская область;Клин
Центральный;Брянская область;Клинцы
Приволжский;Нижегородская область;Княгинино
Северо-Западный;Мурманская область;Ковдор
Центральный;Владимирская область;Ковров
Приволжский;Мордовия;Ковылкино
Уральский;Ханты-Мансийский АО;Когалым
Сибирский;Красноярский край;Кодинск
Центральный;Калужская область;Козельск
Приволжский;Чувашия;Козловка
Приволжский;Марий Эл;Козьмодемьянск
Северо-Западный;Мурманская область;Кола
Центральный;Костромская область;Кологрив
Центральный;Московская область;Коломна
Сибирский;Томская область;Колпашево
Северо-Западный;Санкт-Петербург;Колпино
Северо-Западный;Ленинградская область;Колтуши
Центральный;Владимирская область;Кольчугино
Северо-Западный;Ленинградская область;Коммунар
Дальневосточный;Хабаровский край;Комсомольск-на-Амуре
Центральный;Ивановская область;Комсомольск
Центральный;Тверская область;Конаково
Северо-Западный;Карелия;Кондопога
Центральный;Калужская область;Кондрово
Южный;Ростовская область;Константиновск
Уральский;Челябинская область;Копейск
Центральный;Рязанская область;Кораблино
Южный;Краснодарский край;Кореновск
Уральский;Челябинская область;Коркино
Центральный;Московская область;Королёв
Центральный;Белгородская область;Короча
Дальневосточный;Сахалинская область;Корсаков
Северо-Западный;Архангельская область;Коряжма
Центральный;Владимирская область;Костерёво
Северо-Западный;Карелия;Костомукша
Центральный;Костромская область;Кострома
Центральный;Московская область;Котельники
Южный;Волгоградская область;Котельниково
Приволжский;Кировская область;Котельнич
Северо-Западный;Архангельская область;Котлас
Южный;Волгоградская область;Котово
Центральный;Тамбовская область;Котовск
Центральный;Ивановская область;Кохма
Северо-Западный;Вологодская область;Красавино
Центральный;Московская область;Красноармейск
Приволжский;Саратовская область;Красноармейск
Приволжский;Пермский край;Красновишерск
Центральный;Московская область;Красногорск
Южный;Краснодарский край;Краснодар
Северо-Западный;Санкт-Петербург;Красное Село
Центральный;Московская область;Краснозаводск
Северо-Западный;Калининградская область;Краснознаменск
Центральный;Московская область;Краснознаменск
Сибирский;Забайкальский край;Краснокаменск
Приволжский;Пермский край;Краснокамск
Южный;Крым;Красноперекопск
Южный;Волгоградская область;Краснослободск
Приволжский;Мордовия;Краснослободск
Уральский;Свердловская область;Краснотурьинск
Уральский;Свердловская область;Красноуральск
Уральский;Свердловская область;Красноуфимск
Сибирский;Красноярский край;Красноярск
Приволжский;Саратовская область;Красный Кут
Южный;Ростовская область;Красный Сулин
Центральный;Тверская область;Красный Холм
Центральный;Калужская область;Кремёнки
Северо-Западный;Санкт-Петербург;Кронштадт
Южный;Краснодарский край;Кропоткин
Южный;Краснодарский край;Крымск
Приволжский;Нижегородская область;Кстово
Центральный;Московская область;Кубинка
Приволжский;Оренбургская область;Кувандык
Центральный;Тверская область;Кувшиново
Северо-Западный;Ленинградская область;Кудрово
Приволжский;Пермский край;Кудымкар
Приволжский;Пензенская область;Кузнецк
Сибирский;Новосибирская область;Куйбышев
Приволжский;Татарстан;Кукмор
Приволжский;Нижегородская область;Кулебаки
Приволжский;Башкортостан;Кумертау
Приволжский;Пермский край;Кунгур
Сибирский;Новосибирская область;Купино
Уральский;Курганская область;Курган
Южный;Краснодарский край;Курганинск
Дальневосточный;Сахалинская область;Курильск
Центральный;Владимирская область;Курлово
Центральный;Московская область;Куровское
Центральный;Курская область;Курск
Уральский;Курганская область;Куртамыш
Северо-Кавказский;Чечня;Курчалой
Центральный;Курская область;Курчатов
Уральский;Челябинская область;Куса
Уральский;Свердловская область;Кушва
Сибирский;Тыва;Кызыл
Уральский;Челябинская область;Кыштым
Сибирский;Бурятия;Кяхта
Южный;Краснодарский край;Лабинск
Уральский;Ямало-Ненецкий АО;Лабытнанги
Южный;Калмыкия;Лагань
Северо-Западный;Калининградская область;Ладушкин
Приволжский;Татарстан;Лаишево
Центральный;Владимирская область;Лакинск
Уральский;Ханты-Мансийский АО;Лангепас
Северо-Западный;Карелия;Лахденпохья
Центральный;Липецкая область;Лебедянь
Приволжский;Татарстан;Лениногорск
Сибирский;Кемеровская область;Ленинск-Кузнецкий
Южный;Волгоградская область;Ленинск
Дальневосточный;Якутия;Ленск
Северо-Кавказский;Ставропольский край;Лермонтов
Уральский;Свердловская область;Лесной
Дальневосточный;Приморский край;Лесозаводск
Сибирский;Красноярский край;Лесосибирск
Центральный;Орловская область;Ливны
Центральный;Московская область;Ликино-Дулёво
Центральный;Липецкая область;Липецк
Центральный;Тульская область;Липки
Центральный;Воронежская область;Лиски
Центральный;Тверская область;Лихославль
Центральный;Московская область;Лобня
Северо-Западный;Ленинградская область;Лодейное Поле
Северо-Западный;Санкт-Петербург;Ломоносов
Центральный;Московская область;Лосино-Петровский
Северо-Западный;Ленинградская область;Луга
Приволжский;Кировская область;Луза
Приволжский;Нижегородская область;Лукоянов
Центральный;Московская область;Луховицы
Приволжский;Нижегородская область;Лысково
Приволжский;Пермский край;Лысьва
Центральный;Московская область;Лыткарино
Центральный;Курская область;Льгов
Северо-Западный;Ленинградская область;Любань
Центральный;Московская область;Люберцы
Центральный;Ярославская область;Любим
Центральный;Калужская область;Людиново
Уральский;Ханты-Мансийский АО;Лянтор
Дальневосточный;Магаданская область;Магадан
Северо-Кавказский;Ингушетия;Магас
Уральский;Челябинская область;Магнитогорск
Южный;Адыгея;Майкоп
Северо-Кавказский;Кабардино-Балкария;Майский
Дальневосточный;Сахалинская область;Макаров
Центральный;Костромская область;Макарьев
Уральский;Курганская область;Макушино
Северо-Западный;Новгородская область;Малая Вишера
Северо-Кавказский;Ингушетия;Малгобек
Приволжский;Кировская область;Малмыж
Центральный;Орловская область;Малоархангельск
