Округ;Регион;Город
Центральный;Калужская область;Малоярославец
Приволжский;Татарстан;Мамадыш
Северо-Западный;Калининградская область;Мамоново
Центральный;Костромская область;Мантурово
Сибирский;Кемеровская область;Мариинск
Приволжский;Чувашия;Мариинский Посад
Приволжский;Саратовская область;Маркс
Северо-Кавказский;Дагестан;Махачкала
Центральный;Брянская область;Мглин
Уральский;Ханты-Мансийский АО;Мегион
Северо-Западный;Карелия;Медвежьегорск
Приволжский;Оренбургская область;Медногорск
Центральный;Калужская область;Медынь
Приволжский;Башкортостан;Межгорье
Сибирский;Кемеровская область;Междуреченск
Северо-Западный;Архангельская область;Мезень
Центральный;Владимирская область;Меленки
Приволжский;Башкортостан;Мелеуз
Приволжский;Татарстан;Менделеевск
Приволжский;Татарстан;Мензелинск
Центральный;Калужская область;Мещовск
Уральский;Челябинская область;Миасс
Северо-Западный;Коми;Микунь
Южный;Ростовская область;Миллерово
Северо-Кавказский;Ставропольский край;Минеральные Воды
Сибирский;Красноярский край;Минусинск
Уральский;Челябинская область;Миньяр
Северо-Западный;Архангельская область;Мирный
Дальневосточный;Якутия;Мирный
Центральный;Рязанская область;Михайлов
Южный;Волгоградская область;Михайловка
Уральский;Свердловская область;Михайловск
Северо-Кавказский;Ставропольский край;Михайловск
Центральный;Тамбовская область;Мичуринск
Сибирский;Забайкальский край;Могоча
Центральный;Московская область;Можайск
Приволжский;Удмуртия;Можга
Северо-Кавказский;Северная Осетия;Моздок
Северо-Западный;Мурманская область;Мончегорск
Южный;Ростовская область;Морозовск
Центральный;Тамбовская область;Моршанск
Центральный;Калужская область;Мосальск
Центральный;Москва;Москва
Центральный;Москва;Московский
Уральский;Ямало-Ненецкий АО;Муравленко
Приволжский;Кировская область;Мураши
Северо-Западный;Ленинградская область;Мурино
Северо-Западный;Мурманская область;Мурманск
Центральный;Владимирская область;Муром
Центральный;Орловская область;Мценск
Сибирский;Кемеровская область;Мыски
Центральный;Московская область;Мытищи
Центральный;Ярославская область;Мышкин
Приволжский;Татарстан;Набережные Челны
Приволжский;Нижегородская область;Навашино
Центральный;Ивановская область;Наволоки
Уральский;Ямало-Ненецкий АО;Надым
Сибирский;Красноярский край;Назарово
Северо-Кавказский;Ингушетия;Назрань
Сибирский;Омская область;Называевск
Северо-Кавказский;Кабардино-Балкария;Нальчик
Южный;Астраханская область;Нариманов
Центральный;Московская область;Наро-Фоминск
Северо-Кавказский;Кабардино-Балкария;Нарткала
Северо-Западный;Ненецкий АО;Нарьян-Мар
Дальневосточный;Приморский край;Находка
Северо-Западный;Псковская область;Невель
Дальневосточный;Сахалинская область;Невельск
Северо-Кавказский;Ставропольский край;Невинномысск
Уральский;Свердловская область;Невьянск
Центральный;Тверская область;Нелидово
Северо-Западный;Калининградская область;Неман
Центральный;Костромская область;Нерехта
Сибирский;Забайкальский край;Нерчинск
Дальневосточный;Якутия;Нерюнгри
Северо-Западный;Калининградская область;Нестеров
Приволжский;Самарская область;Нефтегорск
Приволжский;Башкортостан;Нефтекамск
Северо-Кавказский;Ставропольский край;Нефтекумск
Уральский;Ханты-Мансийский АО;Нефтеюганск
Центральный;Костромская область;Нея
Уральский;Ханты-Мансийский АО;Нижневартовск
Приволжский;Татарстан;Нижнекамск
Сибирский;Иркутская область;Нижнеудинск
Уральский;Свердловская область;Нижние Серги
Приволжский;Пензенская область;Нижний Ломов
Приволжский;Нижегородская область;Нижний Новгород
Уральский;Свердловская область;Нижний Тагил
Уральский;Свердловская область;Нижняя Салда
Уральский;Свердловская область;Нижняя Тура
Дальневосточный;Хабаровский край;Николаевск-на-Амуре
Южный;Волгоградская область;Николаевск
Северо-Западный;Вологодская область;Никольск
Приволжский;Пензенская область;Никольск
Северо-Западный;Ленинградская область;Никольское
Северо-Западный;Ленинградская область;Новая Ладога
Уральский;Свердловская область;Новая Ляля
Северо-Кавказский;Ставропольский край;Новоалександровск
Сибирский;Алтайский край;Новоалтайск
Южный;Волгоградская область;Новоаннинский
Центральный;Воронежская область;Нововоронеж
Северо-Западный;Архангельская область;Новодвинск
Центральный;Брянская область;Новозыбков
Южный;Краснодарский край;Новокубанск
Сибирский;Кемеровская область;Новокузнецк
Приволжский;Самарская область;Новокуйбышевск
Центральный;Рязанская область;Новомичуринск
Центральный;Тульская область;Новомосковск
Северо-Кавказский;Ставропольский край;Новопавловск
Северо-Западный;Псковская область;Новоржев
Южный;Краснодарский край;Новороссийск
Сибирский;Новосибирская область;Новосибирск
Центральный;Орловская область;Новосиль
Северо-Западный;Псковская область;Новосокольники
Приволжский;Оренбургская область;Новотроицк
Приволжский;Саратовская область;Новоузенск
Приволжский;Ульяновская область;Новоульяновск
Уральский;Свердловская область;Новоуральск
Центральный;Воронежская область;Новохопёрск
Приволжский;Чувашия;Новочебоксарск
Южный;Ростовская область;Новочеркасск
Южный;Ростовская область;Новошахтинск
Центральный;Белгородская область;Новый Оскол
Уральский;Ямало-Ненецкий АО;Новый Уренгой
Центральный;Московская область;Ногинск
Приволжский;Кировская область;Нолинск
Сибирский;Красноярский край;Норильск
Уральский;Ямало-Ненецкий АО;Ноябрьск
Приволжский;Татарстан;Нурлат
Приволжский;Пермский край;Нытва
Дальневосточный;Якутия;Нюрба
Уральский;Ханты-Мансийский АО;Нягань
Уральский;Челябинская область;Нязепетровск
Северо-Западный;Архангельская область;Няндома
Дальневосточный;Еврейская АО;Облучье
Центральный;Калужская область;Обнинск
Центральный;Курская область;Обоянь
Сибирский;Новосибирская область;Обь
Центральный;Московская область;Одинцово
Северо-Западный;Калининградская область;Озёрск
Уральский;Челябинская область;Озёрск
Центральный;Московская область;Озёры
Приволжский;Самарская область;Октябрьск
Приволжский;Башкортостан;Октябрьский
Северо-Западный;Новгородская область;Окуловка
Северо-Западный;Мурманская область;Оленегорск
Северо-Западный;Карелия;Олонец
Дальневосточный;Якутия;Олёкминск
Сибирский;Омская область;Омск
Приволжский;Кировская область;Омутнинск
Северо-Западный;Архангельская область;Онега
Северо-Западный;Псковская область;Опочка
Приволжский;Оренбургская область;Оренбург
Центральный;Московская область;Орехово-Зуево
Приволжский;Кировская область;Орлов
Приволжский;Оренбургская область;Орск
Центральный;Орловская область;Орел
Приволжский;Пермский край;Оса
Сибирский;Кемеровская область;Осинники
Центральный;Тверская область;Осташков
Северо-Западный;Псковская область;Остров
Северо-Западный;Мурманская область;Островной
Центральный;Воронежская область;Острогожск
Северо-Западный;Ленинградская область;Отрадное
Приволжский;Самарская область;Отрадный
Дальневосточный;Сахалинская область;Оха
Приволжский;Пермский край;Оханск
Приволжский;Пермский край;Очёр
Приволжский;Нижегородская область;Павлово
Центральный;Воронежская область;Павловск
Северо-Западный;Санкт-Петербург;Павловск
Центральный;Московская область;Павловский Посад
Южный;Волгоградская область;Палласовка
Дальневосточный;Приморский край;Партизанск
Дальневосточный;Чукотский АО;Певек
Приволжский;Пензенская область;Пенза
Приволжский;Нижегородская область;Первомайск
Уральский;Свердловская область;Первоуральск
Приволжский;Нижегородская область;Перевоз
Центральный;Московская область;Пересвет
Центральный;Ярославская область;Переславль-Залесский
Приволжский;Пермский край;Пермь
Северо-Западный;Новгородская область;Пестово
Северо-Западный;Санкт-Петербург;Петергоф
Южный;Волгоградская область;Петров Вал
Сибирский;Забайкальский край;Петровск-Забайкальский
Приволжский;Саратовская область;Петровск
Северо-Западный;Карелия;Петрозаводск
Дальневосточный;Камчатский край;Петропавловск-Камчатский
Уральский;Курганская область;Петухово
Центральный;Владимирская область;Петушки
Северо-Западный;Коми;Печора
Северо-Западный;Псковская область;Печоры
Северо-Западный;Ленинградская область;Пикалёво
Северо-Западный;Калининградская область;Пионерский
Северо-Западный;Карелия;Питкяранта
Центральный;Тульская область;Плавск
Уральский;Челябинская область;Пласт
Центральный;Ивановская область;Плёс
Центральный;Воронежская область;Поворино
Центральный;Московская область;Подольск
Северо-Западный;Ленинградская область;Подпорожье
Уральский;Ханты-Мансийский АО;Покачи
Центральный;Владимирская область;Покров
Дальневосточный;Якутия;Покровск
Уральский;Свердловская область;Полевской
Северо-Западный;Калининградская область;Полесск
Сибирский;Кемеровская область;Полысаево
Северо-Западный;Мурманская область;Полярные Зори
Северо-Западный;Мурманская область;Полярный
Дальневосточный;Сахалинская область;Поронайск
Северо-Западный;Псковская область;Порхов
Приволжский;Самарская область;Похвистнево
Центральный;Брянская область;Почеп
Центральный;Смоленская область;Починок
Центральный;Ярославская область;Пошехонье
Северо-Западный;Калининградская область;Правдинск
Центральный;Ивановская область;Приволжск
Северо-Западный;Калининградская область;Приморск
Северо-Западный;Ленинградская область;Приморск
Южный;Краснодарский край;Приморско-Ахтарск
Северо-Западный;Ленинградская область;Приозерск
Сибирский;Кемеровская область;Прокопьевск
Южный;Ростовская область;Пролетарск
Центральный;Московская область;Протвино
Северо-Кавказский;Кабардино-Балкария;Прохладный
Северо-Западный;Псковская область;Псков
Приволжский;Саратовская область;Пугачёв
Северо-Западный;Карелия;Пудож
Северо-Западный;Псковская область;Пустошка
Центральный;Ивановская область;Пучеж
Северо-Западный;Санкт-Петербург;Пушкин
Центральный;Московская область;Пушкино
Центральный;Московская область;Пущино
Северо-Западный;Псковская область;Пыталово
Уральский;Ханты-Мансийский АО;Пыть-Ях
Северо-Кавказский;Ставропольский край;Пятигорск
Центральный;Владимирская область;Радужный
Уральский;Ханты-Мансийский АО;Радужный
Дальневосточный;Амурская область;Райчихинск
Центральный;Московская область;Раменское
Центральный;Тамбовская область;Рассказово
Уральский;Свердловская область;Ревда
Уральский;Свердловская область;Реж
Центральный;Московская область;Реутов
Центральный;Тверская область;Ржев
Центральный;Ивановская область;Родники
Центральный;Смоленская область;Рославль
Центральный;Воронежская область;Россошь
Южный;Ростовская область;Ростов-на-Дону
Центральный;Ярославская область;Ростов
Центральный;Московская область;Рошаль
Приволжский;Саратовская область;Ртищево
Сибирский;Алтайский край;Рубцовск
Центральный;Смоленская область;Рудня
Центральный;Московская область;Руза
Приволжский;Мордовия;Рузаевка
Центральный;Ярославская область;Рыбинск
Центральный;Рязанская область;Рыбное
Центральный;Курская область;Рыльск
Центральный;Рязанская область;Ряжск
Центральный;Рязанская область;Рязань
Южный;Крым;Саки
Приволжский;Башкортостан;Салават
Сибирский;Кемеровская область;Салаир
Уральский;Ямало-Ненецкий АО;Салехард
Южный;Ростовская область;Сальск
Приволжский;Самарская область;Самара
Северо-Западный;Санкт-Петербург;Санкт-Петербург
Приволжский;Мордовия;Саранск
Приволжский;Удмуртия;Сарапул
Приволжский;Саратовская область;Саратов
Приволжский;Нижегородская область;Саров
Центральный;Рязанская область;Сасово
Уральский;Челябинская область;Сатка
Центральный;Смоленская область;Сафоново
Сибирский;Хакасия;Саяногорск
Сибирский;Иркутская область;Саянск
Северо-Западный;Калининградская область;Светлогорск
Северо-Кавказский;Ставропольский край;Светлоград
Северо-Западный;Калининградская область;Светлый
Северо-Западный;Ленинградская область;Светогорск
Сибирский;Иркутская область;Свирск
Дальневосточный;Амурская область;Свободный
Северо-Западный;Псковская область;Себеж
Южный;Севастополь;Севастополь
Дальневосточный;Сахалинская область;Северо-Курильск
Сибирский;Бурятия;Северобайкальск
Северо-Западный;Архангельская область;Северодвинск
Северо-Западный;Мурманская область;Североморск
Уральский;Свердловская область;Североуральск
Сибирский;Томская область;Северск
Центральный;Брянская область;Севск
Северо-Западный;Карелия;Сегежа
Центральный;Брянская область;Сельцо
Южный;Ростовская область;Семикаракорск
Центральный;Воронежская область;Семилуки
Приволжский;Нижегородская область;Семёнов
Приволжский;Ульяновская область;Сенгилей
Южный;Волгоградская область;Серафимович
Приволжский;Нижегородская область;Сергач
Центральный;Московская область;Сергиев Посад
Приволжский;Пензенская область;Сердобск
Уральский;Свердловская область;Серов
Центральный;Московская область;Серпухов
Северо-Западный;Ленинградская область;Сертолово
Северо-Западный;Санкт-Петербург;Сестрорецк
Приволжский;Башкортостан;Сибай
Уральский;Челябинская область;Сим
Южный;Крым;Симферополь
Дальневосточный;Амурская область;Сковородино
Центральный;Рязанская область;Скопин
Сибирский;Алтайский край;Славгород
Северо-Западный;Калининградская область;Славск
Южный;Краснодарский край;Славянск-на-Кубани
Северо-Западный;Ленинградская область;Сланцы
Приволжский;Кировская область;Слободской
Сибирский;Иркутская область;Слюдянка
Центральный;Смоленская область;Смоленск
Уральский;Челябинская область;Снежинск
Северо-Западный;Мурманская область;Снежногорск
Центральный;Владимирская область;Собинка
Северо-Западный;Калининградская область;Советск
Приволжский;Кировская область;Советск
Центральный;Тульская область;Советск
Дальневосточный;Хабаровский край;Советская Гавань
Уральский;Ханты-Мансийский АО;Советский
Северо-Западный;Вологодская область;Сокол
Центральный;Костромская область;Солигалич
Приволжский;Пермский край;Соликамск
Центральный;Московская область;Солнечногорск
Приволжский;Оренбургская область;Соль-Илецк
Северо-Западный;Архангельская область;Сольвычегодск
Северо-Западный;Новгородская область;Сольцы
Приволжский;Оренбургская область;Сорочинск
Сибирский;Хакасия;Сорск
Северо-Западный;Карелия;Сортавала
Центральный;Калужская область;Сосенский
Приволжский;Кировская область;Сосновка
Сибирский;Красноярский край;Сосновоборск
Северо-Западный;Ленинградская область;Сосновый Бор
Северо-Западный;Коми;Сосногорск
Южный;Краснодарский край;Сочи
Центральный;Калужская область;Спас-Деменск
Центральный;Рязанская область;Спас-Клепики
Дальневосточный;Приморский край;Спасск-Дальний
Центральный;Рязанская область;Спасск-Рязанский
Приволжский;Пензенская область;Спасск
Дальневосточный;Якутия;Среднеколымск
Уральский;Свердловская область;Среднеуральск
Сибирский;Забайкальский край;Сретенск
Северо-Кавказский;Ставропольский край;Ставрополь
Центральный;Московская область;Старая Купавна
Северо-Западный;Новгородская область;Старая Русса
Центральный;Тверская область;Старица
Центральный;Брянская область;Стародуб
Южный;Крым;Старый Крым
Центральный;Белгородская область;Старый Оскол
Приволжский;Башкортостан;Стерлитамак
Сибирский;Томская область;Стрежевой
Центральный;Белгородская область;Строитель
Центральный;Владимирская область;Струнино
Центральный;Московская область;Ступино
Центральный;Тульская область;Суворов
Южный;Крым;Судак
Центральный;Курская область;Суджа
Центральный;Владимирская область;Судогда
Центральный;Владимирская область;Суздаль
Северо-Кавказский;Ингушетия;Сунжа
Северо-Западный;Карелия;Суоярви
Центральный;Брянская область;Сураж
Уральский;Ханты-Мансийский АО;Сургут
Южный;Волгоградская область;Суровикино
Приволжский;Пензенская область;Сурск
Дальневосточный;Магаданская область;Сусуман
Центральный;Калужская область;Сухиничи
Уральский;Свердловская область;Сухой Лог
Приволжский;Самарская область;Сызрань
Северо-Западный;Коми;Сыктывкар
Уральский;Свердловская область;Сысерть
Центральный;Смоленская область;Сычёвка
Северо-Западный;Ленинградская область;Сясьстрой
Уральский;Свердловская область;Тавда
Южный;Ростовская область;Таганрог
Сибирский;Кемеровская область;Тайга
Сибирский;Иркутская область;Тайшет
Центральный;Московская область;Талдом
Уральский;Свердловская область;Талица
Центральный;Тамбовская область;Тамбов
Сибирский;Омская область;Тара
Уральский;Ямало-Ненецкий АО;Тарко-Сале
Центральный;Калужская область;Таруса
Сибирский;Новосибирская область;Татарск
Сибирский;Кемеровская область;Таштагол
Центральный;Тверская область;Тверь
Северо-Кавказский;Карачаево-Черкесия;Теберда
Центральный;Ивановская область;Тейково
Приволжский;Мордовия;Темников
Южный;Краснодарский край;Темрюк
Северо-Кавказский;Кабардино-Балкария;Терек
Приволжский;Татарстан;Тетюши
Южный;Краснодарский край;Тимашёвск
Северо-Западный;Ленинградская область;Тихвин
Южный;Краснодарский край;Тихорецк
Уральский;Тюменская область;Тобольск
Сибирский;Новосибирская область;Тогучин
Приволжский;Самарская область;Тольятти
Дальневосточный;Сахалинская область;Томари
Дальневосточный;Якутия;Томмот
Сибирский;Томская область;Томск
Сибирский;Кемеровская область;Топки
Центральный;Тверская область;Торжок
Центральный;Тверская область;Торопец
Северо-Западный;Ленинградская область;Тосно
Северо-Западный;Вологодская область;Тотьма
Центральный;Москва;Троицк
Уральский;Челябинская область;Троицк
Центральный;Брянская область;Трубчевск
Уральский;Челябинская область;Трёхгорный
Южный;Краснодарский край;Туапсе
Приволжский;Башкортостан;Туймазы
Центральный;Тульская область;Тула
Сибирский;Иркутская область;Тулун
Сибирский;Тыва;Туран
Уральский;Свердловская область;Туринск
Центральный;Ярославская область;Тутаев
Дальневосточный;Амурская область;Тында
Северо-Кавказский;Кабардино-Балкария;Тырныауз
Сибирский;Омская область;Тюкалинск
Уральский;Тюменская область;Тюмень
Центральный;Тамбовская область;Уварово
Дальневосточный;Сахалинская область;Углегорск
Центральный;Ярославская область;Углич
Дальневосточный;Якутия;Удачный
Центральный;Тверская область;Удомля
Сибирский;Красноярский край;Ужур
Центральный;Тульская область;Узловая
Сибирский;Бурятия;Улан-Удэ
Приволжский;Ульяновская область;Ульяновск
Центральный;Брянская область;Унеча
Уральский;Ханты-Мансийский АО;Урай
Приволжский;Нижегородская область;Урень
Приволжский;Кировская область;Уржум
Северо-Кавказский;Чечня;Урус-Мартан
Южный;Волгоградская область;Урюпинск
Северо-Западный;Коми;Усинск
Центральный;Липецкая область;Усмань
Сибирский;Иркутская область;Усолье-Сибирское
Приволжский;Пермский край;Усолье
Дальневосточный;Приморский край;Уссурийск
Северо-Кавказский;Карачаево-Черкесия;Усть-Джегута
Сибирский;Иркутская область;Усть-Илимск
Уральский;Челябинская область;Усть-Катав
Сибирский;Иркутская область;Усть-Кут
Южный;Краснодарский край;Усть-Лабинск
Северо-Западный;Вологодская область;Устюжна
Приволжский;Башкортостан;Уфа
Северо-Западный;Коми;Ухта
Приволжский;Башкортостан;Учалы
Сибирский;Красноярский край;Уяр
Центральный;Курская область;Фатеж
Южный;Крым;Феодосия
Центральный;Брянская область;Фокино
Дальневосточный;Приморский край;Фокино
Южный;Волгоградская область;Фролово
Центральный;Московская область;Фрязино
Центральный;Ивановская область;Фурманов
Дальневосточный;Хабаровский край;Хабаровск
Южный;Краснодарский край;Хадыженск
Уральский;Ханты-Мансийский АО;Ханты-Мансийск
Южный;Астраханская область;Харабали
Северо-Западный;Вологодская область;Харовск
Северо-Кавказский;Дагестан;Хасавюрт
Приволжский;Саратовская область;Хвалынск
Сибирский;Забайкальский край;Хилок
Центральный;Московская область;Химки
Северо-Западный;Новгородская область;Холм
Дальневосточный;Сахалинская область;Холмск
Центральный;Московская область;Хотьково
Приволжский;Чувашия;Цивильск
Южный;Ростовская область;Цимлянск
Дальневосточный;Амурская область;Циолковский
Сибирский;Тыва;Чадан
Приволжский;Пермский край;Чайковский
Приволжский;Самарская область;Чапаевск
Центральный;Липецкая область;Чаплыгин
Уральский;Челябинская область;Чебаркуль
Приволжский;Чувашия;Чебоксары
Северо-Кавказский;Кабардино-Балкария;Чегем
Центральный;Тульская область;Чекалин
Уральский;Челябинская область;Челябинск
Приволжский;Пермский край;Чердынь
Сибирский;Иркутская область;Черемхово
Сибирский;Новосибирская область;Черепаново
Северо-Западный;Вологодская область;Череповец
Северо-Кавказский;Карачаево-Черкесия;Черкесск
Центральный;Московская область;Черноголовка
Сибирский;Хакасия;Черногорск
Приволжский;Пермский край;Чернушка
Северо-Западный;Калининградская область;Черняховск
Центральный;Московская область;Чехов
Приволжский;Татарстан;Чистополь
Сибирский;Забайкальский край;Чита
Приволжский;Нижегородская область;Чкаловск
Северо-Западный;Новгородская область;Чудово
Сибирский;Новосибирская область;Чулым
Приволжский;Пермский край;Чусовой
Центральный;Костромская область;Чухлома
Приволжский;Пермский край;Чёрмоз
Сибирский;Тыва;Шагонар
Уральский;Курганская область;Шадринск
Северо-Кавказский;Чечня;Шали
Сибирский;Красноярский край;Шарыпово
Центральный;Костромская область;Шарья
Центральный;Московская область;Шатура
Южный;Ростовская область;Шахты
Приволжский;Нижегородская область;Шахунья
Центральный;Рязанская область;Шацк
Центральный;Белгородская область;Шебекино
Сибирский;Иркутская область;Шелехов
Северо-Западный;Архангельская область;Шенкурск
Сибирский;Забайкальский край;Шилка
Дальневосточный;Амурская область;Шимановск
Приволжский;Саратовская область;Шиханы
Северо-Западный;Ленинградская область;Шлиссельбург
Приволжский;Чувашия;Шумерля
Уральский;Курганская область;Шумиха
Центральный;Ивановская область;Шуя
Центральный;Москва;Щербинка
Центральный;Курская область;Щигры
Уральский;Курганская область;Щучье
Центральный;Тульская область;Щёкино
Южный;Крым;Щёлкино
Центральный;Московская область;Щёлково
Центральный;Московская область;Электрогорск
Центральный;Московская область;Электросталь
Центральный;Московская область;Электроугли
Южный;Калмыкия;Элиста
Приволжский;Саратовская область;Энгельс
Центральный;Воронежская область;Эртиль
Уральский;Ханты-Мансийский АО;Югорск
Центральный;Ивановская область;Южа
Дальневосточный;Сахалинская область;Южно-Сахалинск
Северо-Кавказский;Дагестан;Южно-Сухокумск
Уральский;Челябинская область;Южноуральск
Сибирский;Кемеровская область;Юрга
Центральный;Владимирская область;Юрьев-Польский
Центральный;Ивановская область;Юрьевец
Уральский;Челябинская область;Юрюзань
Центральный;Калужская область;Юхнов
Приволжский;Чувашия;Ядрин
Дальневосточный;Якутия;Якутск
Южный;Крым;Ялта
Уральский;Тюменская область;Ялуторовск
Приволжский;Башкортостан;Янаул
Приволжский;Кировская область;Яранск
Сибирский;Алтайский край;Яровое
Центральный;Ярославская область;Ярославль
Центральный;Смоленская область;Ярцево
Центральный;Тульская область;Ясногорск
Приволжский;Оренбургская область;Ясный
Центральный;Московская область;Яхрома
Центральный;Территории, находящиеся за пределами РФ;Бишкек
Центральный;Территории, находящиеся за пределами РФ;Душанбе
Центральный;Территории, находящиеся за пределами РФ;Ереван
Центральный;Территории, находящиеся за пределами РФ;Могилёв
Центральный;Московская область;Электроизолятор
Центральный;Московская область;пос.Черкизово
